Experiment,Model,Loss,MAE (deg),Median AE (deg),RMSE (deg),Axial MAE (deg),Acc < 15° (%),Acc < 30° (%),Acc < 45° (%)
01-initial-training,resnet18,0.0821,10.89,2.64,29.99,7.32,87.6,91.5,93.8
01-initial-training,resnet50,0.0871,11.27,2.62,31.28,7.21,87.5,91.5,93.6
01-initial-training,mobilenetv4_conv_medium,0.0838,10.75,2.36,30.78,6.78,88.1,91.9,93.8
02-cleaned-data-only-automatic,convnext_tiny,0.0831,10.62,2.18,31.74,6.11,88.4,92.2,94.3
02-cleaned-data-only-automatic,resnet18,0.0927,11.6,2.37,33.4,6.61,87.5,91.3,93.6
02-cleaned-data-only-automatic,resnet50,0.0874,11.02,2.28,32.55,6.26,88.2,92.0,94.1
02-cleaned-data-only-automatic,mobilenetv4_conv_medium,0.0782,10.11,2.1,31.21,5.64,89.1,92.9,94.9
03-cleaned-data-manual-080,resnet18,0.0341,5.0,1.61,22.89,2.15,98.0,98.3,98.3
03-cleaned-data-manual-080,resnet50,0.0337,5.01,1.65,22.75,2.2,98.0,98.3,98.4
03-cleaned-data-manual-080,convnext_tiny,0.0349,5.05,1.61,23.15,2.14,98.0,98.3,98.3
03-cleaned-data-manual-080,mobilenetv4_conv_medium,0.0343,4.97,1.59,22.96,2.1,98.0,98.3,98.3
03-cleaned-data-manual-100,resnet18,0.0156,3.7,1.93,14.7,2.6,98.7,99.2,99.3
03-cleaned-data-manual-100,resnet50,0.0156,3.67,1.87,14.71,2.57,98.7,99.2,99.2
03-cleaned-data-manual-100,convnext_tiny,0.0143,3.49,1.87,14.33,2.42,99.0,99.3,99.3
03-cleaned-data-manual-100,mobilenetv4_conv_medium,0.0139,3.11,1.56,14.38,2.0,99.2,99.3,99.4
03-cleaned-data-manual-140,resnet18,0.0282,4.51,1.69,20.8,2.16,98.4,98.6,98.6
03-cleaned-data-manual-140,resnet50,0.028,4.46,1.6,20.75,2.12,98.4,98.6,98.7
03-cleaned-data-manual-140,convnext_tiny,0.0291,4.72,1.8,21.08,2.31,98.3,98.6,98.6
03-cleaned-data-manual-140,mobilenetv4_conv_medium,0.028,4.44,1.64,20.76,2.09,98.5,98.6,98.7
04-err-cbrt-100,resnet18,0.0452,4.51,1.6,21.14,2.08,98.4,98.6,98.6
04-err-cbrt-100,resnet50,0.0472,4.71,1.74,21.36,2.23,98.3,98.5,98.6
04-err-cbrt-100,convnext_tiny,2.1406,64.28,47.03,84.1,36.07,24.1,38.3,48.6
04-err-cbrt-100,mobilenetv4_conv_medium,0.0642,6.32,2.0,26.19,2.59,97.5,97.8,97.8
05-oversampling-100,resnet18,0.0275,4.37,1.58,20.61,2.05,98.5,98.7,98.7
05-oversampling-100,resnet50,0.0275,4.35,1.58,20.6,2.04,98.5,98.7,98.7
05-oversampling-100,convnext_tiny,0.0287,4.61,1.72,21.02,2.21,98.4,98.6,98.6
05-oversampling-100,mobilenetv4_conv_medium,0.0278,4.42,1.62,20.74,2.07,98.5,98.7,98.7
